Date,Age,Cases,Cases per 100k,"New cases, 14-day avg per 100k"
2020-08-10,5 to 11,6741,791.4517109962594,13.611017091009483
2020-08-10,12 to 17,8507,1182.5510128903204,19.580434578411996
2020-08-10,18 to 29,49332,2896.0510689359016,34.83741686172908
2020-08-10,30 to 49,69064,2534.040250233906,28.847136645848785
2020-08-10,50 to 64,38772,2088.122068863004,23.292912276468826
2020-08-10,65 to 79,15419,1655.484443127415,16.220014255206856
2020-08-10,over 80,7438,2205.2501437948804,17.386685822375416
2020-08-11,0 to 4,3070,583.7689415907798,9.887942984599528
2020-08-11,5 to 11,6791,797.322143506245,13.283950136881714
2020-08-11,12 to 17,8580,1192.6986823320735,19.083973255429946
2020-08-11,18 to 29,49623,2913.1343183695417,33.231406912518416
2020-08-11,30 to 49,69471,2548.9735639986056,27.641569020056977
2020-08-11,50 to 64,39029,2101.963175117461,22.47352494122723
2020-08-11,65 to 79,15520,1666.3284621141113,15.73686489441346
2020-08-11,over 80,7477,2216.813031077483,16.793717243780396
2020-08-12,0 to 4,3116,592.5159680771563,9.059420289461382
2020-08-12,5 to 11,6890,808.9455998760164,12.218885952927181
2020-08-12,12 to 17,8730,1213.5500578973194,17.96197066549052
2020-08-12,18 to 29,50126,2942.6630966001985,30.153570612986737
2020-08-12,30 to 49,70153,2573.9969546313455,25.447960100953182
2020-08-12,50 to 64,39412,2122.5901933877212,21.173276493754653
2020-08-12,65 to 79,15652,1680.500843364051,14.839587510082868
2020-08-12,over 80,7528,2231.9337298316564,16.41252315754074
2020-08-13,0 to 4,3165,601.8334528126444,9.059420289461382
2020-08-13,5 to 11,6979,819.3949697437909,11.967295988213515
2020-08-13,12 to 17,8827,1227.033947429512,17.57473083356452
2020-08-13,18 to 29,50521,2965.8516997833185,29.021396497355198
2020-08-13,30 to 49,70789,2597.332550587976,25.00766583762052
2020-08-13,50 to 64,39795,2143.2172116579814,20.957850715475175
2020-08-13,65 to 79,15800,1696.3910890079226,14.946954034703623
2020-08-13,over 80,7583,2248.240365743019,16.47605550524735
2020-08-14,0 to 4,3226,613.4327705445785,9.249573039165218
2020-08-14,5 to 11,7109,834.6580942697534,12.135022631355959
2020-08-14,12 to 17,8948,1243.8540570521436,17.28678326623493
2020-08-14,18 to 29,51125,3001.3097157899124,29.033976209751106
2020-08-14,30 to 49,71524,2624.3005742171017,24.7219987262916
2020-08-14,50 to 64,40248,2167.6141810481327,20.961697604373022
2020-08-14,65 to 79,16003,1718.1864935059357,15.299729758457529
2020-08-14,over 80,7649,2267.808328836655,16.70900744683825
2020-08-15,0 to 4,3271,621.9896442812511,9.059420289461382
2020-08-15,5 to 11,7215,847.1034111909229,11.925364327427902
2020-08-15,12 to 17,9063,1259.8401116521657,17.147774095799956
2020-08-15,18 to 29,51590,3028.6076916890283,28.648198362943322
2020-08-15,30 to 49,72172,2648.0764644370656,24.614545959644936
2020-08-15,50 to 64,40595,2186.3023673138773,20.738578048297846
2020-08-15,65 to 79,16139,1732.7883408543585,15.23070842120133
2020-08-15,over 80,7698,2282.336059012233,16.87842704072254
2020-08-16,0 to 4,3287,625.0320882765125,9.032255610932262
2020-08-16,5 to 11,7279,854.6175648037045,11.984068652527757
2020-08-16,12 to 17,9133,1269.5707535826139,17.137844869340316
2020-08-16,18 to 29,51841,3043.3427281421,28.350478502906878
2020-08-16,30 to 49,72514,2660.624850942046,24.399640426351613
2020-08-16,50 to 64,40798,2197.235225561561,20.534692936711906
2020-08-16,65 to 79,16232,1742.7734276440885,15.21537034625551
2020-08-16,over 80,7734,2293.009493426943,16.624297649896103
2020-08-17,0 to 4,3223,612.862312295467,7.5246159525661245
2020-08-17,5 to 11,7344,862.2491270666858,11.782796680756823
